Image Name	Laplacian	Tenengrad	Brenner	FFT
0138.jpg	18.213455161683832	1488.466446487083	75254062	85949181533.12025
0141.jpg	12.174487455003332	922.6819593687406	52420510	66269618955.65442
0142.jpg	12.482922375135354	1103.4354711337655	56587362	73507876506.68631
0143.jpg	13.957278809592877	1223.060342119356	60576858	77955083317.56618
0145.jpg	21.389747410604553	1461.8027884767205	65038048	84020707627.57558
0147.jpg	12.593064476208124	991.5905806678286	54402076	70060122504.55466
0148.jpg	11.84071580192588	1006.1844820598131	50321292	70901693333.3074
0149.jpg	11.448852533143649	913.9284523617384	54299880	69651463723.22786
0150.jpg	16.44461443969588	1180.8611402400873	51769796	73563677198.64713
0151.jpg	14.947414911816436	1112.4479773458022	54690642	73003017548.0125
0152.jpg	13.568736453365473	985.2616019686192	45783208	67062844499.37498
0154.jpg	11.867852519984805	992.703402775004	48342378	71058497414.08467
0159.jpg	12.65254289212752	1037.6146479983563	50214592	70765675506.0843
0160.jpg	17.13947295676661	1316.6874694093578	58462590	80977811519.97377
0161.jpg	14.3464854678084	1188.7809462730347	55592516	77691627697.42201
0166.jpg	15.334408352710918	1272.910252299158	82313168	80241035462.0832
0167.jpg	12.450889004802264	1016.3732385768956	58405612	68473094573.71337
0171.jpg	11.457843230369496	992.2855727613722	96428882	73714040967.66605
0172.jpg	10.872495510991971	908.5525894849452	57137746	65759676718.72228
0175.jpg	14.659013168511716	1246.000745507018	73131224	78805205937.03467
0177.jpg	17.253447807517396	1405.8906233272576	81262326	82851202864.47829
0178.jpg	16.501537254218878	1259.5665644234384	92380858	79277807107.67648
0179.jpg	17.247484012079475	1337.1786383315568	93358918	81689232487.92047
0180.jpg	14.7926974433471	1205.6014299610931	64827768	76705146849.80147
0183.jpg	13.32301601737967	1069.9469480477771	67854128	73394950088.49525
0184.jpg	15.733838842405424	1294.9362005511543	72094202	79932716748.30516
0185.jpg	12.580854872789182	1063.0754007601067	56178026	70898628279.91985
0187.jpg	16.132887054117084	1346.6684736300997	74514120	81774970015.95605
0189.jpg	15.005882475221698	1263.2468959223872	67369730	79577998406.68413
0190.jpg	12.942803427234038	1066.0951927568872	60533822	72563772745.41177
0191.jpg	20.107234810537385	1427.880316448572	87451368	86201940380.9877
0193.jpg	10.132757342553289	953.393762557893	58539952	70952387904.31946
0194.jpg	11.956774866884151	1013.8767113699588	63475486	73245707293.25261
0195.jpg	10.667351362244665	922.0617811707766	54813138	68671988140.3008
0198.jpg	12.08613661118448	952.1727670568538	57831286	70350085880.20174
0200.jpg	13.289173402302318	977.7009394966088	66236494	72896579032.71045
0202.jpg	10.106896365634492	836.730178422092	64999138	69443716409.34349
0203.jpg	15.660802812417744	1253.931721123279	82991588	79378390007.94081
0205.jpg	13.408866389546834	1141.5070468193182	63214080	75392196580.97871
0207.jpg	17.486703614480383	1386.931456552179	93822368	84921742498.39069
0208.jpg	18.78942657010857	1422.9487151523365	77370638	84878791324.59192
0209.jpg	10.415073991227752	1017.0485590015464	69182968	74857625300.01747
0210.jpg	18.267318222802757	1452.74553706869	87649040	85757883944.89133
0215.jpg	13.471825068124533	1161.78099823565	60831266	77117159423.5971
0216.jpg	15.684391593962754	1280.2739737039117	70772318	80907050400.93427
0218.jpg	14.72699949649978	1221.174382906378	73852216	78494391665.0097
0219.jpg	17.713246836923645	1369.7487193093457	68092964	80938301447.85779
0221.jpg	20.368147083776105	1443.1144345759994	90321416	83779466451.08305
0222.jpg	11.2560080303281	874.6452068994834	42562822	60553913057.138855
0223.jpg	12.517814192851992	1099.356337704913	76123442	74568270307.15498
0224.jpg	16.902027144144434	1296.14541919494	93338348	79909497609.562
0225.jpg	12.084023406046242	1055.8369315462032	66788654	73007528102.5075
0226.jpg	23.940923976417036	1667.4651752185655	107706668	89536297862.69434
0227.jpg	10.148646357305196	845.3478055686645	50776228	62280554042.30268
0228.jpg	13.16184463033542	1049.1076997201908	94258968	73407380779.06949
0229.jpg	20.97835224294388	1409.7061773282476	103964872	83249958223.16032
0230.jpg	14.89116912146055	1123.8600550352965	65932908	74629203211.5476
0231.jpg	18.24183574608272	1298.617686246222	101876102	81388357458.72792
0232.jpg	11.73467738244914	901.030386610624	55376566	65410502463.60897
0233.jpg	14.141566682388564	1035.4059275696234	86006846	74443995532.88025
0234.jpg	21.014314101865267	1350.8042791151229	102063174	83719154429.73705
0235.jpg	13.951566700659836	1122.6202107528557	72326096	76908326764.68684
0236.jpg	10.355711429217626	920.5142716262458	64447478	70607217444.44499
0238.jpg	17.694432516548673	1354.7802127862842	73277752	82797971396.73225
0239.jpg	16.462034916576815	1313.5749297784728	58412742	80241250174.9516
0240.jpg	16.127025555369396	1294.5427048181616	66469828	81303418862.53784
0241.jpg	19.108057573574	1451.9830151113547	71103790	85375385483.536
0244.jpg	15.310711397284326	1244.0027546446752	56714306	80085767874.30331
0246.jpg	14.330039736244316	1155.364462153749	53980546	76438921565.7
0248.jpg	10.970897052494443	999.6402278792328	58048084	75472208141.09474
0249.jpg	16.15276146847555	1251.3657037472308	67657998	81941482159.78036
0250.jpg	14.103007055973563	1138.8915337373228	57978068	78162489772.65666
0251.jpg	11.18396581287147	927.9384116543508	46800122	70322657514.43794
0252.jpg	11.075755971218094	917.9225654356452	55572542	72621946055.89705
0257.jpg	11.617253139924832	929.872566130567	47183976	66270576137.90018
0261.jpg	10.898475913237268	1007.7753048859508	62700226	72322690894.51863
0263.jpg	16.50232647898281	1207.199995091724	61232910	78003159241.6727
0266.jpg	12.184529382704763	991.667494854762	61583606	73695802796.54126
0268.jpg	20.760108387616803	1454.8398042649662	73959954	86377133180.4383
0270.jpg	10.240348632776314	911.2471328218292	54563002	68773805994.16637
0271.jpg	14.151530247434376	1122.2058107726891	57403228	76894472511.49136
0272.jpg	17.215137228731738	1311.1298665963147	96009040	82781660966.07088
0274.jpg	10.689506343306135	820.9970761950995	48120038	60871781516.00828
0275.jpg	10.612387186269936	981.195333732089	82480966	73062694156.96297
0276.jpg	18.39436416545177	1464.0089803920637	75354110	83965343902.40092
0277.jpg	16.02371690944969	1352.33857613168	72640030	81699205996.19888
0279.jpg	11.252109043027788	979.997006702927	94898216	74245773272.38583
0281.jpg	10.543708423931486	905.2364811117144	56546192	65269170095.9552
